,CourseFull,mean,std
0,MUS 314: The History of Music II,3.1099887005649713,0.9640416920720357
1,GEOG 106/ESE 106: Geographies of Globalization,3.3683291457286435,0.8789031236196145
2,BIOC 445: Current Topics in Biochemistry,3.8258208955223885,0.3177117310408747
3,KIN 346/MACS 346/RST 346: Case Study: Endless Summer,3.8095238095238093,0.4994327848429293
4,FIN 566: Algorithmic Mkt Microstructure,3.5862616822429905,0.4201568985187212
5,AFRO 224/CWL 226: Race and Food Security,3.705384615384615,0.6686509424507204
6,RST 199: Coaching Wheelchair Basketball,3.601890034364261,0.6179265308510001
7,ME 400: Energy Conversion Systems,3.366924778761062,0.7688461436281343
8,AFRO 231/SHS 231: Lang Diff Dis: American Persp,3.755845070422535,0.6165787510760617
9,BADM 420: Advanced Marketing Management,3.8036608344549125,0.4059481076741247
10,ACE 398: App Stat Mthds & Data Anlytcs2,3.4609523809523814,1.0562553116773956
11,GWS 485: The Politics of Fashion,3.7204,0.6508485538126362
12,ANSC 498: Integrating Animal Sciences,3.8521570482497633,0.48972979433249175
13,ART 299: Fashion Design,3.9366666666666665,0.1665428111222695
14,ATMS 391: Geophysical Data Analysis,3.4776190476190476,0.9569191873223986
15,GLBL 100: Intro to Glbl Stds Crossroads,3.503392857142857,0.8821377783254607
16,EIL 445: Second Lang Reading & Writing,3.827758620689655,0.7381945428647781
17,MBA 502: Manufacturing&Service ProcMgmt,3.4834299516908214,0.421904267905421
18,GEOG 465/ESE 465: Transportation &Sustainability,3.5323404255319146,0.8495986856532022
19,MCB 502: Advanced Molecular Genetics,3.440707762557078,0.5424085483459291
20,FIN 580: Financial Statements,3.6404738154613465,0.5514121747581179
21,CEE 406: Pavement Design I,3.092317880794702,0.9065100170947261
22,SHS 385: Evidence-Based Practice in CSD,3.3382246376811593,0.5563852996906238
23,MATH 525: Algebraic Topology I,3.5,0.6871862920635132
24,ME 450: Modeling Materials Processing,3.636818181818182,0.6578365807266641
25,SOC 364: Impacts of Globalization,3.155036496350365,0.9142386438660802
26,LAW 794: Doing Business in Japan,3.4285714285714284,0.34431831499473897
27,ENGL 216/CWL 216/MDVL 216: Legends of King Arthur,3.446440677966102,0.7149582486609648
28,PS 200: Foundations of Pol Sci,2.3973041894353373,1.138202342430361
29,CHLH 101: Introduction to Public Health,3.358657697442744,0.7770755802631187
30,HIST 377: United States Since 1932,2.8125,0.6284256121451448
31,EPS 590: Global Perspectives Curriculum,3.8636363636363638,0.2397260833562387
32,FIN 580: Cases in Enterprise Risk Mngmt,3.667500000000001,0.4723207933366705
33,NRES 100: Fundamentals of Env Sci,3.4339111870196413,0.7715692565453774
34,AFRO 372/HIST 384: Class Politics & Blk Community,3.2786458333333335,0.8199334574012529
35,HIST 271: Nineteenth Century America,3.0030640668523674,0.9056695910494654
36,SE 422/ECE 489/ME 446: Robot Dynamics and Control,3.5568041237113395,0.48355331349635505
37,CMN 396: Risk Communication,3.273030303030303,0.4822829852582456
38,EPSY 474/HRD 474: Evaluating Learning Technology,3.898913043478261,0.26752674194546355
39,ARTH 114/EALC 114: Introduction to East Asian Art,2.833571428571428,0.8666652603337621
40,ACE 398: Contemporary Issues in Policy,3.8943181818181816,0.3805820764856758
41,KIN 240: Soc & Psych of Phys Activity,3.3885668789808916,0.7169431639288235
42,ECE 527: System-On-Chip Design,3.714931506849315,0.39039538541397223
43,CS 527: Topics in Software Engineering,3.721162790697674,0.4751093352860296
44,ACE 428: Commodity Futures and Options,3.1955680224403933,0.8393895923402844
45,HIST 343: Technology & Sport,3.6676315789473684,0.6711280143417864
46,LER 564: HR Training and Development,3.7873333333333328,0.33891217198185775
47,CPSC 498: Undergrad Crop Sci Seminar,3.9794736842105265,0.1273814695360492
48,EPSY 578: Qualitative Inquiry Methods,3.9171875,0.16609926202048583
49,ECE 329: Fields and Waves I,2.900796928779455,1.0681357992232576
50,GWS 380/AFRO 380: Black Women Hist & Cultures,2.1904347826086954,0.7975041407054536
51,STAT 420/ASRM 450: Statistical Modeling in R,3.8552272727272734,0.39751708731920415
52,ARTH 310: African Art and Society I,3.3507894736842103,0.7069984053393293
53,ANSC 420: Ruminant Nutrition,3.0434714003944774,0.8630546301057391
54,BADM 583: Global Innov & Entrep,3.4252777777777776,0.39838902059217823
55,HRD 585: Program Evaluation,3.8428455284552845,0.4425030803718115
56,ECE 452: Electromagnetic Fields,3.592666666666667,0.48677350425474514
57,GLBL 100: Intro to Global Studies-Honors,3.2540000000000004,0.9855962662266938
58,ACE 398: Issues in Agribus Mkts & Mgmt,3.80375,0.5408510571972922
59,FR 134: Accel Intermed French II,3.3489062499999998,0.5671009532798702
60,CS 598: Machine Learning Theory,3.834090909090909,0.2968724717160719
61,ECON 490: Environmental Economics,3.1163703703703702,0.7018458281770239
62,ME 430: Failure of Engrg Materials,3.3210982658959542,0.7392841066490025
63,NRES 105: Climate Change and Ecosystems,2.7556818181818183,1.284731839241299
64,CHLH 594: Cultural Competence,3.962962962962963,0.1388795058558908
65,FSHN 420/NUTR 420: Nutritional Aspects of Disease,3.3521168831168833,0.7500461020294058
66,ARTD 499: Sustainable Life Cycle Design,2.8486363636363636,0.8511558742757108
67,EPS 413: Aesthetic Education,3.883235294117647,0.177759265303905
68,ECE 544: Pattern Recognition,3.6800958466453673,0.3485794866957176
69,LING 450: Sociolinguistics I,3.673518518518518,0.6584976093418383
70,RST 199: Coaching Wheelchair Bsktbll,3.1931513647642684,0.9280020666191978
71,HIST 337: Middle East Since World War I,3.258494623655914,0.6447821107949587
72,ENG 491: Interdisciplinary Design Proj,3.589255319148936,0.6310650223801876
73,ANTH 399: Youth and Culture,3.384230769230769,0.4110415763822352
74,ENGL 117/MACS 117: Shakespeare on Film,3.736206896551724,0.4669077572128579
75,ARCH 403: Spec Topics in Arch History,3.311935483870968,0.7285133751504862
76,CI 476: Teach Elem & Mid Lang Arts,3.7064090909090908,0.5080562924332221
77,NPRE 412: Nuclear Power Econ & Fuel Mgmt,3.2732167832167836,0.8634672352161084
78,CS 554/CSE 512: Parallel Numerical Algorithms,3.6791616766467063,0.38077043420053075
79,RST 199: Tech Innovations For the Exper,3.5714285714285716,0.9147320339189784
80,FIN 536: Government Insurance Programs,3.583846153846154,0.375398013632269
81,LLS 301: 19thC US Latina/o Lit-ACP,2.827307692307692,1.172299048524564
82,IE 370: Stochastic Processes & Applic,3.351846846846847,0.8339111765757703
83,CHEM 445: Physical Principles Lab I,3.6907142857142854,0.35961217772392934
84,KIN 122: Physical Activity and Health,3.428805828016379,0.8460291709327002
85,CEE 411: RR Project Design & Constr,3.274788732394366,0.5390598470914714
86,SOC 270/RSOC 270: Population Issues,3.053860759493671,0.9647559701177828
87,IS 545: Social Just Info Professions,3.753913043478261,0.370566418742218
88,CMN 396: Current Trends in Mass Comm,2.7838333333333334,1.130183011237069
89,NRES 439: Env and Sustainable Dev,3.662840909090909,0.36468525926673573
90,BADM 573: Decision Analytics,3.935121951219512,0.19773253616845
91,GE 161: Business Side of Engineering,3.0233287858117333,1.031585144152059
92,CMN 502: Health Comm Research Methods I,3.9366666666666665,0.22089284912294194
